<>f__AnonymousType3`18;<>f__AnonymousType3`18.codigo;<>f__AnonymousType3`18.nombre;<>f__AnonymousType3`18.descripcion;<>f__AnonymousType3`18.categoria_id;<>f__AnonymousType3`18.categoria_nombre;<>f__AnonymousType3`18.precio;<>f__AnonymousType3`18.stock;<>f__AnonymousType3`18.activo;<>f__AnonymousType3`18.visible_catalogo;<>f__AnonymousType3`18.grupo1;<>f__AnonymousType3`18.grupo2;<>f__AnonymousType3`18.grupo3;<>f__AnonymousType3`18.fecha_alta;<>f__AnonymousType3`18.fecha_modi;<>f__AnonymousType3`18.codigo_ubicacion;<>f__AnonymousType3`18.listas_precios;<>f__AnonymousType3`18.porcentaje;<>f__AnonymousType3`18.stocks_por_empresa
"{ codigo = 07040, nombre = GOMA GOLOMIX x800g SUPER MENTOL, descripcion = GOMA GOLOMIX x800g SUPER MENTOL, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07040;"GOMA GOLOMIX x800g SUPER MENTOL";"GOMA GOLOMIX x800g SUPER MENTOL";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 3145,61, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 3397,26, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 4 }]"
"{ codigo = 07041, nombre = MANI C/CHOCOLATE IMPERIAL x24u, descripcion = MANI C/CHOCOLATE IMPERIAL x24u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07041;"MANI C/CHOCOLATE IMPERIAL x24u";"MANI C/CHOCOLATE IMPERIAL x24u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 4297,28, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 4641,06, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07043, nombre = CHUP. LASER POP DANCING, descripcion = CHUP. LASER POP DANCING, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07043;"CHUP. LASER POP DANCING";"CHUP. LASER POP DANCING";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1339,06, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1446,18, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 32 }]"
"{ codigo = 07045, nombre = ALF VAUQUITA ROGEL x75g, descripcion = ALF VAUQUITA ROGEL x75g, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07045;"ALF VAUQUITA ROGEL x75g";"ALF VAUQUITA ROGEL x75g";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 590,88, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 638,15, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 15 }]"
"{ codigo = 07046, nombre = CHUP MASTIC NITRO x50u, descripcion = CHUP MASTIC NITRO x50u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07046;"CHUP MASTIC NITRO x50u";"CHUP MASTIC NITRO x50u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 3374,58, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 3644,55, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 22 }]"
"{ codigo = 07047, nombre = GOMA POTE x30u MINIONS, descripcion = GOMA POTE x30u MINIONS, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07047;"GOMA POTE x30u MINIONS";"GOMA POTE x30u MINIONS";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 5693,90, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 6149,41, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 0 }]"
"{ codigo = 07050, nombre = PUPPY HOUSSE 2 X U, descripcion = PUPPY HOUSSE 2 X U, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07050;"PUPPY HOUSSE 2 X U";"PUPPY HOUSSE 2 X U";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1561,21, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1686,10, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 252 }]"
"{ codigo = 07053, nombre = BUBBLE ROLL xU SURTIDO, descripcion = BUBBLE ROLL xU SURTIDO, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07053;"BUBBLE ROLL xU SURTIDO";"BUBBLE ROLL xU SURTIDO";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1337,25, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1444,23, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 586 }]"
"{ codigo = 07054, nombre = CONITO VIMAR x12u, descripcion = CONITO VIMAR x12u, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07054;"CONITO VIMAR x12u";"CONITO VIMAR x12u";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 5389,51, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 5820,67, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 99 }]"
"{ codigo = 07056, nombre = CHOC. VAUQUITA RELLENO DDL x70g, descripcion = CHOC. VAUQUITA RELLENO DDL x70g, categoria_id = , categoria_nombre = , precio = , stock = 0, activo = True, visible_catalogo = True, grupo1 = , grupo2 = 7, grupo3 = , fecha_alta = 2025-08-15, fecha_modi = 2025-08-15, codigo_ubicacion = , listas_precios = <>f__AnonymousType4`3[System.Int32,System.Decimal,System.String][], porcentaje = , stocks_por_empresa = <>f__AnonymousType5`2[System.Int32,System.Decimal][] }";07056;"CHOC. VAUQUITA RELLENO DDL x70g";"CHOC. VAUQUITA RELLENO DDL x70g";"";"";"";0;True;True;"";7;"";2025-08-15;2025-08-15;"";"[{ ListaId = 2, Precio = 1181,75, Fecha = 2025-08-15 }, { ListaId = 4, Precio = 1276,29, Fecha = 2025-08-15 }]";"";"[{ empresa_id = 1, stock = 124 }]"
